type,#,cpu_usage,request_time,db_time,memory_usage,total_time
GET,1,0.0,0.046000003814697266,0.0009999275207519531,32837632,0.0009999275207519531
GET,2,0.0,0.019999980926513672,0.0019998550415039062,32837632,0.0019998550415039062
GET,3,0.0,0.0409998893737793,0.002000093460083008,32837632,0.002000093460083008
GET,4,0.0,0.04900002479553223,0.0019998550415039062,32837632,0.0019998550415039062
GET,5,0.0,0.04700016975402832,0.002000093460083008,32837632,0.002000093460083008
GET,6,0.0,0.031999826431274414,0.0009999275207519531,32837632,0.0009999275207519531
GET,7,0.0,0.018000125885009766,0.0019998550415039062,32837632,0.0019998550415039062
GET,8,200.0,0.029000043869018555,0.002000093460083008,32837632,0.002000093460083008
GET,9,0.0,0.029999971389770508,0.002000093460083008,32837632,0.002000093460083008
GET,10,0.0,0.02499985694885254,0.002000093460083008,32837632,0.002000093460083008
GET,11,0.0,0.026000022888183594,0.002000093460083008,32837632,0.002000093460083008
GET,12,0.0,0.032000064849853516,0.0010001659393310547,32837632,0.0010001659393310547
GET,13,0.0,0.032000064849853516,0.0010001659393310547,32837632,0.0010001659393310547
GET,14,0.0,0.020999908447265625,0.0009999275207519531,32837632,0.0009999275207519531
GET,15,0.0,0.020999908447265625,0.0019998550415039062,32837632,0.0019998550415039062
GET,16,0.0,0.021000146865844727,0.0009999275207519531,32837632,0.0009999275207519531
GET,17,0.0,0.04999995231628418,0.0019998550415039062,32837632,0.0019998550415039062
GET,18,0.0,0.026999950408935547,0.002000093460083008,32837632,0.002000093460083008
GET,19,0.0,0.01900005340576172,0.002000093460083008,32837632,0.002000093460083008
GET,20,0.0,0.04800009727478027,0.002000093460083008,32837632,0.002000093460083008
GET,21,0.0,0.023999929428100586,0.002000093460083008,32837632,0.002000093460083008
GET,22,0.0,0.023000001907348633,0.0009999275207519531,32837632,0.0009999275207519531
GET,23,0.0,0.037999868392944336,0.0009999275207519531,32837632,0.0009999275207519531
GET,24,0.0,0.03800010681152344,0.0019998550415039062,32837632,0.0019998550415039062
GET,25,0.0,0.020999908447265625,0.0019998550415039062,32837632,0.0019998550415039062
GET,26,0.0,0.03400015830993652,0.003000020980834961,32837632,0.003000020980834961
GET,27,0.0,0.02499985694885254,0.002000093460083008,32837632,0.002000093460083008
GET,28,0.0,0.04200005531311035,0.0009999275207519531,32837632,0.0009999275207519531
GET,29,0.0,0.01699995994567871,0.003000020980834961,32837632,0.003000020980834961
GET,30,0.0,0.01699995994567871,0.002000093460083008,32837632,0.002000093460083008
GET,31,0.0,0.02200007438659668,0.0010001659393310547,32837632,0.0010001659393310547
GET,32,0.0,0.019999980926513672,0.002000093460083008,32837632,0.002000093460083008
GET,33,0.0,0.03900003433227539,0.0019998550415039062,32837632,0.0019998550415039062
GET,34,0.0,0.02200007438659668,0.0009999275207519531,32837632,0.0009999275207519531
GET,35,0.0,0.039999961853027344,0.002000093460083008,32837632,0.002000093460083008
GET,36,0.0,0.032000064849853516,0.0019998550415039062,32837632,0.0019998550415039062
GET,37,0.0,0.05499982833862305,0.002000093460083008,32837632,0.002000093460083008
GET,38,400.0,0.02700018882751465,0.002000093460083008,32837632,0.002000093460083008
GET,39,0.0,0.018999814987182617,0.002000093460083008,32837632,0.002000093460083008
GET,40,0.0,0.04400014877319336,0.002000093460083008,32837632,0.002000093460083008
GET,41,266.7,0.04699993133544922,0.003000020980834961,32837632,0.003000020980834961
GET,42,0.0,0.01699995994567871,0.002000093460083008,32837632,0.002000093460083008
GET,43,0.0,0.021000146865844727,0.0010001659393310547,32837632,0.0010001659393310547
GET,44,0.0,0.019999980926513672,0.0009999275207519531,32837632,0.0009999275207519531
GET,45,0.0,0.019999980926513672,0.002000093460083008,32837632,0.002000093460083008
GET,46,0.0,0.017999887466430664,0.002000093460083008,32837632,0.002000093460083008
GET,47,100.0,0.029999971389770508,0.002000093460083008,32837632,0.002000093460083008
GET,48,0.0,0.021000146865844727,0.002000093460083008,32837632,0.002000093460083008
GET,49,0.0,0.026000022888183594,0.002000093460083008,32837632,0.002000093460083008
GET,50,0.0,0.023000001907348633,0.0009999275207519531,32837632,0.0009999275207519531
GET,51,0.0,0.017999887466430664,0.0009999275207519531,32837632,0.0009999275207519531
GET,52,0.0,0.08100008964538574,0.0010001659393310547,32837632,0.0010001659393310547
GET,53,0.0,0.0279998779296875,0.0019998550415039062,32837632,0.0019998550415039062
GET,54,400.0,0.018000125885009766,0.002000093460083008,32837632,0.002000093460083008
GET,55,200.0,0.05099987983703613,0.002000093460083008,32837632,0.002000093460083008
GET,56,0.0,0.021000146865844727,0.0019998550415039062,32837632,0.0019998550415039062
GET,57,0.0,0.046000003814697266,0.002000093460083008,32837632,0.002000093460083008
